Hashtag_name,Following,Followers,Total_tweets,Activity_level,Semantic_similarity,Polarity,subjectivity,Degree Centrality,katz_centrality,betweenness_centrality,closeness_centrality,Page_rank,Label
catcoin,0.3180043797010378,0.05049017909723906,0.3063712548331602,0.2566149613436454,0.5202831593357632,0.27734678044996125,0.1178571428571428,0.0810810810810813,0.097579324102249,0.05896036970196402,0.7452631688562935,0.09198473003071637,0.0
WednesdayMotivation,0.3180043797010378,0.05049017909723906,0.3063712548331602,0.2566149613436454,0.5599916031582396,0.4581846392552366,0.2423809523809524,0.9594594594594594,0.9597747412741758,0.8593588633542332,0.9692757062799526,0.9098245830003726,1.0
wednesdaythought,0.3180043797010378,0.05049017909723906,0.3063712548331602,0.2566149613436454,0.5010999937230322,0.28133242823894483,0.3424999999999999,1.0,1.0,1.0,1.0,1.0,1.0
catcoin,0.3180043797010378,0.05049017909723906,0.3063712548331602,0.2566149613436454,0.49470707308582196,0.27734678044996125,0.1178571428571428,0.0810810810810813,0.097579324102249,0.05896036970196402,0.7452631688562935,0.09198473003071637,0.0
WednesdayMotivation,0.3180043797010378,0.05049017909723906,0.3063712548331602,0.2566149613436454,0.7695895510064269,0.4581846392552366,0.2423809523809524,0.9594594594594594,0.9597747412741758,0.8593588633542332,0.9692757062799526,0.9098245830003726,1.0
wednesdaythought,0.3180043797010378,0.05049017909723906,0.3063712548331602,0.2566149613436454,0.6278318042271668,0.28133242823894483,0.3424999999999999,1.0,1.0,1.0,1.0,1.0,1.0
LionCoin,0.3180043797010378,0.05049017909723906,0.3063712548331602,0.2566149613436454,0.6301771476841799,0.5049545101911278,0.5424242424242425,0.040540540540540494,0.0592378596866671,0.0,0.7386760381158616,0.038508585683677335,0.0
LionCoin,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.7739429821653832,0.5049545101911278,0.5424242424242425,0.040540540540540494,0.0592378596866671,0.0,0.7386760381158616,0.038508585683677335,0.0
WednesdayMotivation,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.885255673635343,0.4581846392552366,0.2423809523809524,0.9594594594594594,0.9597747412741758,0.8593588633542332,0.9692757062799526,0.9098245830003726,1.0
wednesdaythought,0.04332095591735695,0.0029618595628226,0.009291590727145752,0.09349361692343702,0.8198882184837359,0.28133242823894483,0.3424999999999999,1.0,1.0,1.0,1.0,1.0,1.0
