Hashtag_name,Following,Followers,Total_tweets,Activity_level,Semantic_similarity,Polarity,subjectivity,Degree Centrality,katz_centrality,betweenness_centrality,closeness_centrality,Page_rank,Label
AEWFightForever,0.05037441350846295,0.00020297617374912373,0.009407340031580958,0.009136612644857036,0.3870025614351407,0.4958333333333333,0.2677777777777778,0.006430920985088903,0.2708245204549269,0.0,0.013527536472192202,0.03174844317814728,0.0
XboxFreeCodeFriday,0.011104687899116734,4.632945406434629e-05,0.003188940705962352,0.003219094718813019,0.6751873805306194,0.524074074074074,0.2022222222222222,0.026758544788531045,0.2840007644558477,0.00027498849838383376,0.02485770661387594,0.09791602020745996,1.0
AEWFightForever,0.005417904628745815,2.82913469491295e-05,0.0011346011282919468,0.0013340297824444088,0.3705943886926432,0.4958333333333333,0.2677777777777778,0.006430920985088903,0.2708245204549269,0.0,0.013527536472192202,0.03174844317814728,0.0
starfield,0.013605259266230187,0.00016784933357738576,0.008229626163474396,0.009422012357438076,0.3213406113871793,0.42830687830687836,0.1814285714285714,0.006430920985088903,0.2708245204549269,0.0,0.013527536472192202,0.03174844317814728,0.0
SamSummerDitchDays,0.0006856405361440114,1.8987481173912415e-07,9.81428223422135e-06,4.71861308522167e-05,0.5497957273667058,0.4444444444444445,0.0,0.11823285190402079,0.3500812068570944,0.1751676734705179,0.6101607569362373,0.25016297720085257,1.0
SamSummerDitchDays,0.006332092010271164,0.00018455831701042868,0.006840905227332075,0.05054346785900294,0.42022518616451493,0.4444444444444445,0.0,0.11823285190402079,0.3500812068570944,0.1751676734705179,0.6101607569362373,0.25016297720085257,1.0
Smackoff,0.006332092010271164,0.00018455831701042868,0.006840905227332075,0.05054346785900294,0.24303449259321994,0.5320391414141414,0.339665404040404,0.23003478282295245,0.41845933871929414,0.41062911915710293,0.6794154142960601,0.39491217442514426,0.0
Bitcoin,0.00012099538873129612,0.0008054489513973647,2.6638766064315093e-05,0.0006220865414394297,0.3544641979419925,0.4444444444444445,0.0,0.016594732886810074,0.2777685909222519,0.0,0.35245358589286185,0.029725894524756675,0.0
Paris,0.00012099538873129612,0.0008054489513973647,2.6638766064315093e-05,0.0006220865414394297,0.30105877190062724,0.4558080808080808,0.0681818181818181,0.016594732886810074,0.2777685909222519,0.0,0.35245358589286185,0.029725894524756675,0.0
SamSummerDitchDays,0.06383178952179934,6.113968937999798e-05,0.00579848825002585,0.006603939045479039,0.591914965566008,0.4444444444444445,0.0,0.11823285190402079,0.3500812068570944,0.1751676734705179,0.6101607569362373,0.25016297720085257,1.0
